ecadac35d5f50aa4db6e5fed695f6cd0a2b4f6ac,Bob Ippolito,2018-09-08,Disable BUILD_WHEEL until we know it works, re #181
98c486a99315a5b28b24636c5de8d1760ef5eec9,Bob Ippolito,2018-09-08,Merge branch 'master' of https://github.com/simplejson/simplejson
1bac22505d63c9e94827c04cc7352ce82ca175d3,Bob Ippolito,2018-09-07,No longer signing releases
a3bdbbd50f359cbf7cfbbbffdd8a71cc66b84b55,Bob Ippolito,2018-09-07,Simplify travis config
bfa10c093f2bcdd1fd161101d3934af96e7233c5,Bob Ippolito,2018-09-07,Add appveyor status icon
148d73cfeba67291cb5173fd3398f33845a9fea0,Bob Ippolito,2018-09-07,Update CHANGES for v3.16.1
4daab06c97bc14fc35a31d6e4433131b618c4c4a,Bob Ippolito,2018-09-07,Merge pull request #236 from simplejson/json-lines-example
26524a0d907dda3fee69055026922876b309f8f3,Bob Ippolito,2018-09-06,Prep for v3.16.1 and add JSON lines example
ee25b0c7faeb072e2dd5bc3925bd8dc6fbb04d93,Bob Ippolito,2018-09-04,Merge pull request #235 from simplejson/felixonmars-patch-1-1
1e57b3ad218df1b44d9d4360ebd4c784adbc0c39,Felix Yan,2018-09-05,Update appveyor.yml
e2a54f71bdcaf73b6b55cf553d62ab87c2ef6c68,Bob Ippolito,2018-09-04,Merge pull request #233 from simplejson/travis-py37
58b5cd7fe2417abd05a44d8acbe4a3ee88ab6f4b,Bob Ippolito,2018-09-04,pyenv on osx is not up to date yet
44130e3327a504b7306b827fec07dfb50594a56f,Bob Ippolito,2018-09-04,Merge branch 'master' into travis-py37
f0a1bd8baec5f9ae61afd1c374abed78e995550b,Bob Ippolito,2018-09-04,Merge pull request #234 from simplejson/appveyor-py37
734ecc2452d7a749b60de48890bd2282088432e9,Bob Ippolito,2018-09-04,Change pyenv clone URL
cd63aad915c92052d25abcb509f07a06df56c080,Bob Ippolito,2018-09-04,Use xenial distro for Python 3.7
c49033dda5c6130a20bb8723e82e46ff2630e1b3,Bob Ippolito,2018-09-04,Add Python 3.7 to appveyor
bd64f618e89b3eb4a4b21e8a446c9694365a0dc2,Bob Ippolito,2018-09-04,Add Python 3.7 to Travis
2ba490b151d4caeb0394d14bf579949591404751,Bob Ippolito,2018-09-03,Merge pull request #231 from ushuz/manylinux1-wheels
57ea0c5d23a6def78f35c039fb0b561bff3aaf61,John Hu,2018-09-03,Build manylinux1 wheels with cibuildwheel 0.9.4
543b4232813d3be2231124d27f7ae9b95be1beb6,Bob Ippolito,2018-06-28,Update CHANGES for v3.16.0
131d225786a98c2c2da5a1dfbbf9db0491fe9ac6,Bob Ippolito,2018-06-27,Merge pull request #225 from benjaminp/empty-str
48d4f134f971c4cb7a67804a5aa8402e81298057,Benjamin Peterson,2018-06-26,fix indentation
1f4d59c479a0d9bb26a977d2b3fd3c5631c71aa8,Benjamin Peterson,2018-06-26,add test
fad6c2b09cb4e9c352ed4c4cc55a2259a97a02be,Benjamin Peterson,2018-06-26,On Python 2, decode empty strings as str not unicode.
00ed20da4c0e5f0396661f73482418651ff4d8c7,Bob Ippolito,2018-06-19,Merge pull request #224 from hugovk/python_requires
ffd38e498f3fb9d4ede38c4a255ff595355abcad,Hugo,2018-06-19,Add python_requires to help pip
c951033b33b9525e823d0a0f214c3defa9dd9327,Hugo,2018-06-19,http -> https
d5810ccd5c89e4691c2ab27ea3ca05de4845f547,Bob Ippolito,2018-06-04,Merge pull request #222 from simplejson/doc-css-fix-gh-221
50a57475d1c0feabc27f4ae0f9c76a33c5fedd8a,Bob Ippolito,2018-06-04,Fix #221. Allow Sphinx to set css file name
67d48f67e601bd644f8de975c3287015e4258be2,Bob Ippolito,2018-05-12,v3.15.0
424a9e9aabba6f000def57c470a18a44076737d8,Bob Ippolito,2018-05-12,Merge pull request #220 from simplejson/speedups-cleanup
1bd31cb46b088ed0b3c12f3c6bc4d725c755a1e5,Bob Ippolito,2018-04-25,Merge branch 'master' into speedups-cleanup
476e08369fd151a982cb5aaaacd92a50eccce9f8,Bob Ippolito,2018-04-25,Merge pull request #219 from simplejson/str-decode
f35e2e2d6aca34c4b9ce2e3d61568fc6d09a6b9d,Bob Ippolito,2018-04-25,Merge branch 'master' into str-decode
a0b9681c7fb2cf16ac49dcd80c4b3d7d79c665c4,Bob Ippolito,2018-04-25,Merge branch 'master' into speedups-cleanup
7a2c88f768084a41eabb137d6e82f4ed2be0ce54,Bob Ippolito,2018-04-25,Merge pull request #217 from simplejson/cStringIO
